WL	WN	Time	Start	
572.500000	34934.497817	2078378223.000000	0.022222	
572.505000	34934.192714	2078381792.000000	0.020351	
572.510000	34933.887618	2078385542.000000	0.019495	
572.515000	34933.582526	2078389413.000000	0.019851	
572.520000	34933.277440	2078393237.000000	0.020322	
572.525000	34932.972359	2078397330.000000	0.020588	
572.530000	34932.667284	2078401313.000000	0.020032	
572.535000	34932.362214	2078405056.000000	0.020117	
572.540000	34932.057149	2078408801.000000	0.020234	
572.545000	34931.752089	2078412997.000000	0.021435	
572.550000	34931.447035	2078416903.000000	0.020416	
572.555000	34931.141986	2078420793.000000	0.022207	
572.560000	34930.836943	2078425235.000000	0.020233	
572.565000	34930.531905	2078429233.000000	0.020945	
572.570000	34930.226872	2078433554.000000	0.022431	
572.575000	34929.921844	2078437840.000000	0.023054	
572.580000	34929.616822	2078441689.000000	0.022659	
572.585000	34929.311805	2078445357.000000	0.022866	
572.590000	34929.006794	2078449623.000000	0.022753	
572.595000	34928.701787	2078453582.000000	0.023552	
572.600000	34928.396787	2078457515.000000	0.021260	
572.605000	34928.091791	2078461796.000000	0.021787	
572.610000	34927.786801	2078465656.000000	0.024661	
572.615000	34927.481816	2078469800.000000	0.020202	
572.620000	34927.176836	2078473528.000000	0.022877	
572.625000	34926.871862	2078477443.000000	0.021588	
572.630000	34926.566893	2078481251.000000	0.020432	
572.635000	34926.261930	2078484906.000000	0.023080	
572.640000	34925.956971	2078488811.000000	0.021860	
572.645000	34925.652018	2078493024.000000	0.020277	
572.650000	34925.347071	2078496877.000000	0.021816	
572.655000	34925.042128	2078500734.000000	0.019281	
572.660000	34924.737191	2078504898.000000	0.021567	
572.665000	34924.432260	2078509008.000000	0.019406	
572.670000	34924.127333	2078513043.000000	0.021801	
572.675000	34923.822412	2078517164.000000	0.020904	
572.680000	34923.517497	2078521247.000000	0.020597	
572.685000	34923.212586	2078525092.000000	0.021719	
572.690000	34922.907681	2078528916.000000	0.022288	
572.695000	34922.602782	2078533216.000000	0.020473	
572.700000	34922.297887	2078536990.000000	0.022167	
572.705000	34921.992998	2078540476.000000	0.021190	
572.710000	34921.688114	2078544538.000000	0.019597	
572.715000	34921.383236	2078548312.000000	0.021499	
572.720000	34921.078363	2078552291.000000	0.019064	
572.725000	34920.773495	2078556349.000000	0.020420	
572.730000	34920.468633	2078560310.000000	0.021262	
572.735000	34920.163776	2078564668.000000	0.021745	
572.740000	34919.858924	2078568573.000000	0.022817	
572.745000	34919.554077	2078572464.000000	0.019552	
572.750000	34919.249236	2078576270.000000	0.022580	
572.755000	34918.944400	2078580253.000000	0.020616	
572.760000	34918.639570	2078583895.000000	0.022080	
572.765000	34918.334745	2078588044.000000	0.021194	
572.770000	34918.029925	2078591481.000000	0.018877	
572.775000	34917.725110	2078595480.000000	0.020871	
572.780000	34917.420301	2078599669.000000	0.023090	
572.785000	34917.115497	2078603465.000000	0.021213	
572.790000	34916.810699	2078607490.000000	0.022546	
572.795000	34916.505905	2078611321.000000	0.019845	
572.800000	34916.201117	2078614931.000000	0.021346	
572.805000	34915.896335	2078618920.000000	0.021386	
